TIME,AVG CCI
2000,102.758225
2001,100.3594275
2002,100.3498425
2003,100.1712367
2004,101.0980333
2005,100.241965
2006,100.0921842
2007,99.84968667
2008,96.897165
2009,97.25560667
2010,97.99281917
2011,97.4115475
2012,98.61649167
2013,98.98835417
2014,99.6579925
2015,100.815
2016,100.683825
2017,101.3462
2018,101.5333667
2019,101.2843917
2020,99.28104417
