Year,Month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film Noir,Game Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2002,January,0.63441,0,0.68728,0.51766,0.58064,0.48664,0.5,0.40215,0.48059,0.63575,0.72434,0,0,0.75806,0.5672,0.44086,0.41935,0.55795,0,0,0.41856,0.5023,0.39785,0.55914,0,0.55615,0.60573,0.0
2002,February,0.57932,0,0.68675,0.5763,0.45984,0.46102,0.50241,0.27711,0.48126,0.66717,0.62465,0,0,0.66868,0.79117,0.41566,0.0,0.68502,0,0,0.47145,0.60844,0.51807,0.38554,0,0.59598,0.53012,0.0
2002,March,0.6909,0,0.59715,0.61232,0.41486,0.46416,0.68152,0.26449,0.45577,0.66601,0.56988,0,0,0.65217,0.71739,0.30072,0.20109,0.57453,0,0,0.47164,0.6872,0.52174,0.65489,0,0.62908,0.5264,0.0
2002,April,0.65394,0,0.61169,0.6,0.4213,0.48391,0.5607,0.40556,0.44515,0.62191,0.54877,0,0,0.36482,0.65371,0.41666,0.39815,0.51094,0,0,0.5119,0.76158,0.63889,0.62654,0,0.57236,0.36882,0.0
2002,May,0.68956,0,0.69715,0.70443,0.31934,0.48623,0.50658,0.4096,0.45886,0.59896,0.60878,0,0,0.42448,0.58203,0.4349,0.18555,0.46797,0,0,0.54427,0.71441,0.56901,0.55339,0,0.59068,0.6582,0.96094
2002,June,0.79222,0,0.70831,0.71788,0.25431,0.53447,0.41501,0.35169,0.4776,0.71287,0.60555,0,0,0.5298,0.4702,0.40397,0.18654,0.68772,0,0,0.4512,0.79801,0.53808,0.52244,0,0.6634,0.60738,0.9404
2002,July,0.78861,0,0.75253,0.6805,0.28122,0.54248,0.46261,0.36321,0.48361,0.81258,0.70972,0,0,0.40566,0.73428,0.52201,0.24109,0.61268,0,0,0.50043,0.73061,0.49476,0.74214,0,0.61985,0.5849,0.79245
2002,August,0.73038,0,0.69944,0.70239,0.32392,0.56618,0.52005,0.34227,0.46667,0.73075,0.63746,0,0,0.41203,0.69053,0.48596,0.35668,0.62737,0,0,0.50101,0.74281,0.60585,0.67368,0,0.62683,0.5886,0.77895
2002,September,0.72854,0,0.63575,0.48689,0.35021,0.54363,0.5338,0.34951,0.49815,0.63735,0.59281,0,0,0.51942,0.61165,0.54207,0.40777,0.72634,0,0,0.48407,0.70146,0.48166,0.68516,0,0.61065,0.61954,0.0
2002,October,0.67545,0,0.6093,0.65375,0.35349,0.53428,0.59349,0.38947,0.489,0.70862,0.61292,0,0,0.44794,0.76013,0.58895,0.35194,0.70451,0,0,0.50411,0.66605,0.47804,0.48,0,0.61547,0.44612,0.0
2002,November,0.65102,0,0.57957,0.65514,0.29171,0.52004,0.5443,0.35265,0.49945,0.63451,0.57329,0,0,0.31882,0.71049,0.51174,0.34523,0.6844,0,0,0.50142,0.59566,0.46531,0.41628,0,0.58637,0.41002,0.0
2002,December,0.6019,0,0.59992,0.65119,0.45652,0.59093,0.52617,0.35239,0.4784,0.63013,0.65659,0,0,0.37296,0.76223,0.58207,0.49728,0.60675,0,0,0.50451,0.57191,0.47337,0.0,0,0.52514,0.42391,0.0
2003,January,0.65746,0,0.58571,0.63825,0.50937,0.58693,0.60906,0.30747,0.49716,0.67456,0.68499,0,0,0.30289,0.72951,0.59426,0.48415,0.65938,0,0,0.55738,0.56011,0.42259,0.18579,0,0.5687,0.38661,0
2003,February,0.76758,0,0.56109,0.61339,0.58743,0.58123,0.64481,0.32416,0.4918,0.59053,0.51222,0,0,0.3832,0.69126,0.61749,0.45455,0.53318,0,0,0.51322,0.40546,0.39686,0.37158,0,0.60015,0.52161,0
2003,March,0.72872,0.16489,0.64064,0.6875,0.48404,0.57848,0.61028,0.30946,0.48475,0.73077,0.65221,0,0,0.38617,0.6629,0.70137,0.37766,0.61028,0,0,0.5208,0.55615,0.39096,0.50709,0,0.60532,0.55106,0
2003,April,0.67973,0.36318,0.5775,0.65616,0.50675,0.579,0.65395,0.38228,0.45721,0.71269,0.54384,0,0,0.43221,0.61249,0.65032,0.34619,0.71336,0,0,0.51309,0.53178,0.39988,0.4063,0,0.63585,0.51542,0
2003,May,0.68735,0.18534,0.55756,0.63362,0.42241,0.57328,0.6721,0.41921,0.45526,0.68494,0.51157,0,0,0.36925,0.53771,0.64709,0.44861,0.52452,0,0,0.51716,0.62814,0.47953,0.49569,0,0.68009,0.3876,0
2003,June,0.7009,0.1383,0.60662,0.68921,0.42494,0.61059,0.57909,0.38521,0.42658,0.69211,0.63298,0,0,0.40012,0.6318,0.66565,0.43351,0.50842,0,0,0.49551,0.64096,0.38497,0.89894,0,0.66796,0.39628,0
2003,July,0.71066,0.16244,0.66087,0.56853,0.40761,0.5746,0.51863,0.37854,0.43838,0.66288,0.67195,0,0,0.44624,0.62881,0.64467,0.38536,0.54568,0,0,0.47426,0.59681,0.45467,0.61083,0,0.61167,0.39044,0.53299
2003,August,0.76123,0.07107,0.62384,0.55257,0.43706,0.53479,0.48366,0.40941,0.43996,0.65905,0.63564,0,0,0.48667,0.6764,0.58545,0.57642,0.57995,0,0,0.47374,0.60297,0.50761,0.65313,0,0.59146,0.34292,0.80457
2003,September,0.73512,0.0,0.57346,0.52547,0.53412,0.54754,0.52202,0.36019,0.44642,0.61636,0.59076,0,0,0.45929,0.66782,0.42654,0.46524,0.54108,0,0,0.47003,0.50237,0.40488,0.73744,0,0.65433,0.42239,0.67417
2003,October,0.68304,0.0,0.59332,0.45791,0.54305,0.54793,0.54848,0.39717,0.46401,0.62106,0.5437,0,0,0.46392,0.63761,0.31027,0.50406,0.58325,0,0,0.47017,0.50923,0.38542,0.65253,0,0.63077,0.45089,0.63504
2003,November,0.60692,0.09615,0.6056,0.67488,0.59948,0.56738,0.55018,0.39949,0.45988,0.68956,0.61665,0,0,0.50881,0.70042,0.54327,0.49856,0.62212,0,0,0.49591,0.50699,0.46742,0.70914,0,0.64842,0.46372,0.66466
2003,December,0.69689,0.00524,0.6103,0.60602,0.52019,0.5571,0.49883,0.34284,0.47677,0.65738,0.68063,0,0,0.53967,0.49336,0.42757,0.50052,0.57551,0,0,0.54808,0.5445,0.40954,0.53752,0,0.57692,0.56735,0.48691
2004,January,0.72225,0.0,0.58591,0.5642,0.60629,0.56768,0.52374,0.35066,0.48582,0.58813,0.5835,0,0,0.46407,0.47754,0.39093,0.74251,0.52745,0,0,0.57901,0.58283,0.39521,0.6527,0,0.55663,0.57485,0.45709
2004,February,0.63323,0.0,0.60701,0.49566,0.68263,0.54135,0.51702,0.38556,0.48112,0.57735,0.66022,0,0,0.51704,0.51582,0.30466,0.7135,0.56077,0,0,0.56098,0.47652,0.39148,0.86925,0,0.5295,0.51326,0.3674
2004,March,0.68227,0.0,0.598,0.45517,0.57979,0.53177,0.54537,0.37949,0.50005,0.59015,0.58549,0,0,0.47422,0.60934,0.37411,0.47104,0.74291,0,0,0.59455,0.60058,0.4111,0.79521,0,0.62041,0.48192,0.53546
2004,April,0.68374,0.0,0.54262,0.4446,0.50767,0.54317,0.5797,0.39519,0.48008,0.58931,0.62441,0,0,0.4463,0.66354,0.34155,0.65904,0.61364,0,0,0.55719,0.49967,0.50078,0.64424,0,0.64252,0.49906,0.69108
2004,May,0.70861,0.0,0.56821,0.68578,0.49929,0.58096,0.53602,0.40249,0.47357,0.62241,0.79522,0,0,0.44343,0.61583,0.69266,0.54496,0.52007,0,0,0.54483,0.60409,0.44233,0.64495,0,0.55872,0.43912,0.69496
2004,June,0.7017,0.0,0.68493,0.61304,0.42233,0.58299,0.48578,0.46347,0.44318,0.63422,0.65877,0,0,0.4298,0.6426,0.53156,0.45955,0.58738,0,0,0.50604,0.68585,0.6068,0.59385,0,0.53614,0.54639,0.66214
2004,July,0.72787,0.0,0.67525,0.57455,0.45264,0.55009,0.45094,0.51522,0.42339,0.64454,0.6357,0,0,0.48844,0.51776,0.65027,0.56345,0.59891,0,0,0.45282,0.67042,0.56011,0.63388,0,0.56011,0.48907,0.59016
2004,August,0.65821,0.0,0.72056,0.68026,0.30314,0.52735,0.46488,0.45388,0.45292,0.62698,0.61529,0,0,0.49624,0.58967,0.59511,0.56726,0.59725,0,0,0.50489,0.65825,0.52083,0.53587,0,0.61077,0.36329,0.43116
2004,September,0.68825,0.0,0.64649,0.68342,0.36755,0.50761,0.52726,0.43053,0.46729,0.63987,0.63668,0,0,0.52307,0.64456,0.51759,0.43073,0.63337,0,0,0.49418,0.68565,0.51759,0.69849,0,0.63628,0.45872,0.50251
2004,October,0.67634,0.0,0.6342,0.61439,0.70807,0.50089,0.51241,0.46785,0.45735,0.51986,0.62881,0,0,0.44733,0.55263,0.53145,0.6033,0.63151,0,0,0.49619,0.61544,0.50118,0.75943,0,0.59338,0.45788,0.0118
2004,November,0.71897,0.0,0.63917,0.66635,0.69213,0.50679,0.58644,0.39497,0.48572,0.68127,0.64396,0,0,0.41568,0.61261,0.66366,0.60773,0.64875,0,0,0.50228,0.54092,0.55928,0.54124,0,0.57526,0.51031,0.0567
2004,December,0.63628,0.0,0.61833,0.71858,0.68124,0.51707,0.4598,0.45705,0.4556,0.74556,0.63607,0,0,0.39563,0.54603,0.81421,0.57134,0.52295,0.53005,0,0.51727,0.46175,0.57787,0.60328,0,0.52613,0.44731,0.0765
